                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.37241,                 1.2523,                0.74485,                0.99039,                      1,                  0.995,                0.89819,                 0.3932,                0.76212,                0.76463,             0.00079233,             0.00079233,             0.00079233
                     56,                0.44318,                0.78379,                 0.8657,                0.98916,                      1,                  0.995,                0.90943,                 0.4003,                0.73533,                0.77071,             0.00077582,             0.00077582,             0.00077582
                     57,                0.40341,                0.74115,                 0.8588,                0.98904,                      1,                  0.995,                 0.9368,                0.39762,                0.71256,                0.77041,             0.00075932,             0.00075932,             0.00075932
                     58,                0.41932,                0.74244,                 0.8656,                0.98995,                      1,                  0.995,                0.92964,                0.40279,                 0.6852,                0.77363,             0.00074282,             0.00074282,             0.00074282
                     59,                0.39789,                 0.6742,                0.83948,                0.99071,                      1,                  0.995,                 0.9141,                0.39366,                0.67259,                0.77737,             0.00072631,             0.00072631,             0.00072631
                     60,                0.37819,                0.69265,                 0.8565,                0.99019,                      1,                  0.995,                0.94408,                0.37277,                0.67978,                0.76838,             0.00070981,             0.00070981,             0.00070981
                     61,                0.45317,                0.65679,                0.88933,                0.99208,                      1,                  0.995,                 0.9301,                0.35867,                0.65401,                0.75816,             0.00069331,             0.00069331,             0.00069331
                     62,                 0.4234,                0.75495,                0.89805,                0.99208,                      1,                  0.995,                 0.9301,                0.35867,                0.65401,                0.75816,              0.0006768,              0.0006768,              0.0006768
                     63,                0.65726,                 1.3317,                0.93674,                 0.9916,                      1,                  0.995,                 0.9234,                0.35827,                0.66844,                0.75137,              0.0006603,              0.0006603,              0.0006603
                     64,                0.45593,                0.75192,                0.85475,                0.98998,                      1,                  0.995,                0.93206,                 0.3625,                0.65942,                0.75688,              0.0006438,              0.0006438,              0.0006438
                     65,                0.46113,                0.68764,                0.88138,                0.98757,                      1,                  0.995,                0.90811,                0.37584,                0.66778,                0.76433,             0.00062729,             0.00062729,             0.00062729
                     66,                0.38384,                0.64578,                0.83495,                0.98626,                      1,                  0.995,                 0.9299,                0.37912,                  0.672,                0.76424,             0.00061079,             0.00061079,             0.00061079
                     67,                 0.3901,                0.66198,                0.86662,                0.98621,                      1,                  0.995,                0.94031,                0.36161,                0.65795,                0.75544,             0.00059429,             0.00059429,             0.00059429
